,displ,mean
0,0.6,49.83983333333333
1,0.9,58.400000000000006
2,1.0,59.03006783625732
3,1.1,32.53418333333334
4,1.2,50.4924288888889
5,1.3,45.745979787234006
6,1.4,51.49351183673464
7,1.5,47.63919053708447
8,1.6,43.65241301282057
9,1.7,46.53118026315791
10,1.8,41.40950924214401
11,1.9,46.00380023923449
12,2.0,40.93853828164712
13,2.1,30.89378301886791
14,2.2,36.6805463432296
15,2.3,34.87890246478879
16,2.4,37.36951266397579
17,2.5,36.1372914564686
18,2.6,28.667045882352923
19,2.7,33.39489317738788
20,2.8,31.650763289869516
21,2.9,31.319842439024427
22,3.0,33.581990290641926
23,3.1,35.00885843137255
24,3.2,30.98172337662333
25,3.3,31.184450440528636
26,3.4,31.45820000000001
27,3.5,34.315312089274606
28,3.6,34.001972664015824
29,3.7,30.49780667808222
30,3.8,33.37017323232325
31,3.9,25.78332319749217
32,4.0,27.946976532567074
33,4.1,26.11607684210527
34,4.2,27.055985261194053
35,4.3,27.15396317321684
36,4.4,30.10068086419752
37,4.5,26.14234222222222
38,4.6,28.723739965095987
39,4.7,26.07787657894739
40,4.8,26.85053745318351
41,4.9,22.701678409090913
42,5.0,25.782356620093122
43,5.2,21.190472482014375
44,5.3,25.788334725536973
45,5.4,22.350743506493497
46,5.5,26.276470560747665
47,5.6,24.689221052631567
48,5.7,25.18691251141546
49,5.8,18.9528175
50,5.9,19.341590828402342
51,6.0,24.133996091954
52,6.1,24.70833333333334
53,6.2,27.724713777777787
54,6.3,23.04668181818182
55,6.4,31.464313333333298
56,6.5,24.126746666666673
57,6.6,26.47235769230769
58,6.7,23.168154929577454
59,6.8,17.757751773049648
60,7.0,32.19
61,7.4,15.5
62,8.0,23.515024999999998
63,8.3,21.37777777777778
64,8.4,28.1192
