,displ,mean
0,0.6,48.579874999999994
1,0.9,58.400000000000006
2,1.0,58.96481569767442
3,1.1,32.53418333333334
4,1.2,51.42451836734696
5,1.3,45.70074114583331
6,1.4,51.47065789473679
7,1.5,47.856629097387184
8,1.6,43.96146420595538
9,1.7,46.53118026315791
10,1.8,41.63745433070849
11,1.9,46.00380023923449
12,2.0,41.32766070931845
13,2.1,30.89378301886791
14,2.2,36.69814497469276
15,2.3,34.94020086956526
16,2.4,37.48171213616184
17,2.5,36.38916142011826
18,2.6,28.667045882352923
19,2.7,33.48566455223878
20,2.8,31.687884530938035
21,2.9,31.57345972850682
22,3.0,33.90404542502948
23,3.1,35.00885843137255
24,3.2,30.98172337662333
25,3.3,31.32354402515723
26,3.4,31.501128505747136
27,3.5,34.4387646376811
28,3.6,34.141530434782524
29,3.7,30.57127541806023
30,3.8,33.343197725024766
31,3.9,25.876678593272164
32,4.0,28.20447910313903
33,4.1,26.11607684210527
34,4.2,27.055985261194053
35,4.3,27.16736710050609
36,4.4,30.235478947368414
37,4.5,26.14234222222222
38,4.6,28.711444444444446
39,4.7,26.107292689295058
40,4.8,26.85053745318351
41,4.9,22.701678409090913
42,5.0,25.907093346253223
43,5.2,21.320838245614027
44,5.3,25.972411945392512
45,5.4,22.350743506493497
46,5.5,26.271483561643844
47,5.6,24.890034170854264
48,5.7,25.254837847533555
49,5.8,18.9528175
50,5.9,19.341590828402342
51,6.0,24.214347178329554
52,6.1,24.70833333333334
53,6.2,27.793198855507857
54,6.3,23.03726222222222
55,6.4,31.35832999999996
56,6.5,24.033166666666673
57,6.6,26.35066874999999
58,6.7,23.34377027027026
59,6.8,17.77917605633803
60,7.0,32.19
61,7.4,15.5
62,8.0,23.302423999999995
63,8.3,21.37777777777778
64,8.4,28.1192
